title,url,price,deal_price,currency,image_url,tags
10000mAh Kesguar 15W Magnetic Portable Power Bank w/ 22.5W PD Charging (3 Colors) $13.50,https://slickdeals.net/f/19196212-10000mah-kesguar-15w-magnetic-portable-power-bank-w-22-5w-pd-charging-3-colors-13-49-free-shipping-w-prime-or-on-35?utm_source=rss&utm_content=fp&utm_medium=RSS2,,13.5,$,,tech
Select Customers: Metro by T-Mobile 128GB Apple iPhone 13 (Locked) + 1-Mo. Service $55 w/ Number Port-In + Free S/H,https://slickdeals.net/f/19203298-metro-by-t-mobile-128gb-apple-iphone-13-5g-locked-30-days-service-55-w-number-port-in-free-s-h?utm_source=rss&utm_content=fp&utm_medium=RSS2,,55.0,$,,tech
"Samsung EPP/EDU: 32"" Samsung M50F 1080p 60Hz VA HDR10 Tizen Smart TV Monitor (Black) $100 + Free Shipping",https://slickdeals.net/f/19242064-samsung-epp-edu-32-samsung-m50f-1080p-60hz-va-hdr10-smart-monitor-w-remote-speaker-100-free-shipping?utm_source=rss&utm_content=fp&utm_medium=RSS2,,100.0,$,,tech
2-Pack LcFun USB Rechargeable Plasma Arc Lighter (Various Colors) from $7,https://slickdeals.net/f/19246942-6-99-2-pack-lcfun-usb-rechargeable-plasma-arc-lighter-various-colors-at-amazon?utm_source=rss&utm_content=fp&utm_medium=RSS2,,7.0,$,,tech
Anker MagGo/Safe Qi2 15W Wireless Charging Pad (No Adapter) (Black or White) $15,https://slickdeals.net/f/19239403-14-99-anker-maggo-safe-qi2-15w-wireless-charging-pad-no-adapter-black-or-white-at-amazon?utm_source=rss&utm_content=fp&utm_medium=RSS2,,15.0,$,,tech
Open Box - Excellent: Shokz OpenFit 2 Open-Ear True Wireless Earbuds (Black) $68 + Free Shipping & More,https://slickdeals.net/f/19246258-shokz-openfit-2-open-ear-true-wireless-earbuds-black-open-box-excellent-67-99?utm_source=rss&utm_content=fp&utm_medium=RSS2,,68.0,$,,tech
SABLUTE RGB Backlit Gaming Keyboard & Mouse Combo w/ Wrist Rest (various) $24,https://slickdeals.net/f/19241362-sablute-gaming-keyboard-and-mouse-combo-w-wrist-rest-various-from-23-99-free-shipping-w-prime-or-on-35?utm_source=rss&utm_content=fp&utm_medium=RSS2,,24.0,$,,tech
Google Pixel 10 Smartphones at Visible: 50% off w/ Annual Plan + free shipping,https://www.dealnews.com/Google-Pixel-10-Smartphones-at-Visible-50-off-w-Annual-Plan-free-shipping/21812726.html?iref=rss-c142,,899.0,$,,tech
Electronic Express Weekly Flash Deals: Up to 56% off + free shipping,https://www.dealnews.com/Electronic-Express-Weekly-Flash-Deals-Up-to-56-off-free-shipping/21812671.html?iref=rss-c142,,199.99,$,,tech
Omoton Adjustable Cell Phone Stand for $9 + free shipping,https://www.dealnews.com/products/Omoton/Omoton-Adjustable-Cell-Phone-Stand/497784.html?iref=rss-c142,4.0,9.0,$,,tech
Denon DHT-C210 Dolby Atmos Soundbar for $99 + free shipping,https://www.dealnews.com/Denon-DHT-C210-Dolby-Atmos-Soundbar-for-99-free-shipping/21812619.html?iref=rss-c142,,99.0,$,,tech
